accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.1693,-52.7470,44.8807,-131.2500,332.5001,-805.0003
-1019.3888,-52.0762,43.6001,-87.5000,-131.2500,-1067.5003
-1018.9619,-53.4787,45.1856,-78.7500,-350.0001,-1365.0004
-1016.8886,-53.4177,46.1003,-113.7500,-43.7500,-980.0004
-1018.5350,-52.8689,46.2832,-113.7500,105.0000,-787.5003
-1019.3888,-51.4664,42.3805,-105.0000,-61.2500,-1093.7503
-1016.1569,-53.9666,46.2222,-113.7500,-253.7501,-1251.2504
-1019.6937,-52.6250,43.4781,-96.2500,-218.7501,-1137.5004
-1017.9253,-53.0519,46.0393,-78.7500,-848.7503,-1872.5007
-1018.5350,-54.9422,45.4295,-105.0000,175.0001,-700.0003
-1017.6205,-53.4177,46.4661,-96.2500,630.0003,-411.2502
-1018.7180,-49.5761,41.7707,-122.5000,1102.5003,-35.0000
-1018.7180,-51.2835,43.3562,-70.0000,-1032.5004,-1863.7506
-1018.4742,-54.7593,46.8930,-96.2500,-743.7503,-1592.5006
